Model,Relation,RelationName,Count,MRR,MR,Hits@1,Hits@3,Hits@10
learnable,Overall,Overall,0,0.333526,37.024757,0.224244,0.358170,0.565052
learnable,0,isAssociatedWithGO,7220,0.329957,19.886843,0.210665,0.355125,0.586011
learnable,1,hasGeneExpressionOA,20388,0.190416,22.486414,0.072837,0.192074,0.454924
learnable,2,participatedIn,35752,0.365102,50.371197,0.264824,0.391531,0.574681
learnable,3,partOfPathway,3692,0.641361,6.094800,0.544150,0.693391,0.838299
learnable,4,hasPhysicalInteractionWith,3748,0.604959,9.307898,0.502401,0.654216,0.815368
learnable,5,isAssociatedWithProteinPathway,150,0.437802,17.440001,0.293333,0.533333,0.673333
learnable,6,containedIn,1378,0.406104,31.298258,0.272134,0.465893,0.674891
learnable,7,hasModification,2112,0.320359,32.073864,0.151515,0.410985,0.624053
learnable,8,hasFunctionalInteractionWith,2052,0.141701,123.288986,0.039961,0.172515,0.343567
learnable,9,isAGO,52,0.195247,24.480770,0.038462,0.230769,0.480769
learnable,10,hasGeneticInteractionWith,52,0.122170,71.461540,0.019231,0.115385,0.365385
learnable,11,regulatesGO,24,0.106600,188.333344,0.041667,0.083333,0.291667
learnable,12,negativelyRegulatesGO,6,0.107131,112.500000,0.000000,0.166667,0.333333
learnable,13,occursInGO,8,0.140900,94.875000,0.000000,0.250000,0.250000
learnable,14,partOfGO,2,0.060819,52.000000,0.000000,0.000000,0.500000
learnable,15,hasPartGO,20,0.070589,24.700001,0.000000,0.000000,0.150000
learnable,16,positivelyRegulatesGO,6,0.146388,13.666667,0.000000,0.166667,0.333333
bayesian,Overall,Overall,0,0.340766,35.514465,0.231184,0.367275,0.573061
bayesian,0,isAssociatedWithGO,7220,0.348003,18.950415,0.221330,0.385734,0.617867
bayesian,1,hasGeneExpressionOA,20388,0.201812,22.051550,0.088042,0.204875,0.460712
bayesian,2,participatedIn,35752,0.365410,47.385601,0.263594,0.392537,0.578121
bayesian,3,partOfPathway,3692,0.641292,6.158992,0.545775,0.684995,0.833965
bayesian,4,hasPhysicalInteractionWith,3748,0.617483,10.827908,0.513340,0.671291,0.826307
bayesian,5,isAssociatedWithProteinPathway,150,0.479873,18.293333,0.360000,0.533333,0.726667
bayesian,6,containedIn,1378,0.465076,24.404209,0.342525,0.523948,0.708273
bayesian,7,hasModification,2112,0.346404,31.997160,0.174242,0.443182,0.663826
bayesian,8,hasFunctionalInteractionWith,2052,0.136986,128.076996,0.033138,0.170078,0.330897
bayesian,9,isAGO,52,0.175481,27.250002,0.019231,0.230769,0.557692
bayesian,10,hasGeneticInteractionWith,52,0.177342,74.288467,0.019231,0.211538,0.480769
bayesian,11,regulatesGO,24,0.106154,171.041672,0.083333,0.083333,0.083333
bayesian,12,negativelyRegulatesGO,6,0.171269,170.500000,0.166667,0.166667,0.166667
bayesian,13,occursInGO,8,0.078591,107.250000,0.000000,0.000000,0.250000
bayesian,14,partOfGO,2,0.183333,16.500000,0.000000,0.500000,0.500000
bayesian,15,hasPartGO,20,0.066026,30.250000,0.000000,0.000000,0.200000
bayesian,16,positivelyRegulatesGO,6,0.133944,13.333334,0.000000,0.166667,0.500000
rgcn,Overall,Overall,0,0.139601,85.428520,0.067230,0.133626,0.261694
rgcn,0,hasGeneExpressionOA,7220,0.373618,44.959972,0.244875,0.412050,0.650554
rgcn,1,partOfPathway,20388,0.163367,61.811212,0.075927,0.162743,0.343339
rgcn,2,isAssociatedWithProteinPathway,35752,0.046645,96.788515,0.008000,0.013398,0.069003
rgcn,3,isAssociatedWithGO,3692,0.298694,137.819339,0.199621,0.331798,0.495937
rgcn,4,participatedIn,3748,0.252158,50.357524,0.146478,0.276147,0.468783
rgcn,5,hasFunctionalInteractionWith,150,0.171829,189.320000,0.046667,0.200000,0.440000
rgcn,6,containedIn,1378,0.315142,22.087083,0.094340,0.436139,0.753266
rgcn,7,hasPhysicalInteractionWith,2112,0.066416,284.482955,0.029356,0.060133,0.129261
rgcn,8,isAGO,2052,0.158770,55.822612,0.023879,0.203216,0.428363
rgcn,9,hasModification,52,0.044230,282.615385,0.000000,0.038462,0.153846
rgcn,10,hasGeneticInteractionWith,52,0.401344,72.480769,0.288462,0.500000,0.538462
rgcn,11,partOfGO,24,0.096662,409.958333,0.000000,0.125000,0.250000
rgcn,12,negativelyRegulatesGO,6,0.095684,468.000000,0.000000,0.166667,0.166667
rgcn,13,regulatesGO,8,0.040840,47.125000,0.000000,0.000000,0.000000
rgcn,14,hasPartGO,2,0.023226,90.000000,0.000000,0.000000,0.000000
rgcn,15,occursInGO,20,0.224290,18.000000,0.150000,0.150000,0.400000
rgcn,16,positivelyRegulatesGO,6,0.208418,18.666667,0.000000,0.333333,0.500000
