head	rel	tail	hastscore	hasescore	hasdscore
715	0	3437	1.0	1.0	1.0
648	0	5267	1.0	1.0	1.0
2171	0	5733	1.0	1.0	1.0
1889	0	386	1.0	1.0	1.0
453	0	8691	1.0	1.0	1.0
154	0	4783	1.0	1.0	1.0
698	0	8062	1.0	1.0	1.0
233	0	234	1.0	1.0	1.0
816	0	2903	1.0	1.0	1.0
1182	0	2258	1.0	1.0	1.0
4905	0	2484	1.0	1.0	1.0
957	0	7706	1.0	1.0	1.0
1264	0	6414	1.0	1.0	1.0
2249	0	2974	1.0	1.0	1.0
133	0	1572	1.0	1.0	1.0
2307	0	4291	1.0	1.0	1.0
464	0	7611	1.0	1.0	1.0
2570	0	3146	1.0	1.0	1.0
1077	0	7057	1.0	1.0	1.0
1889	0	8917	1.0	1.0	1.0
1364	0	4117	1.0	1.0	1.0
1058	0	7802	1.0	1.0	1.0
12	0	6907	1.0	1.0	1.0
59	0	5465	1.0	1.0	1.0
440	0	8678	1.0	1.0	1.0
700	0	4963	1.0	1.0	1.0
1218	0	6953	1.0	1.0	1.0
154	0	6694	1.0	1.0	1.0
555	0	3432	1.0	1.0	1.0
458	0	649	1.0	1.0	1.0
318	0	6759	1.0	1.0	1.0
705	0	4780	1.0	1.0	1.0
464	0	2078	1.0	1.0	1.0
52	0	8363	1.0	1.0	1.0
957	0	3595	1.0	1.0	1.0
947	0	5967	1.0	1.0	1.0
133	0	7911	1.0	1.0	1.0
360	0	6044	1.0	1.0	1.0
2057	0	6098	1.0	1.0	1.0
608	0	2389	1.0	1.0	1.0
317	0	6734	1.0	1.0	1.0
914	0	2648	1.0	1.0	1.0
14	0	1916	1.0	1.0	1.0
1984	0	5568	1.0	1.0	1.0
318	0	5561	1.0	1.0	1.0
957	0	4672	1.0	1.0	1.0
660	0	6379	1.0	1.0	1.0
480	0	5442	1.0	1.0	1.0
1848	0	8672	1.0	1.0	1.0
1335	0	8747	1.0	1.0	1.0
2016	0	6814	1.0	1.0	1.0
154	0	8063	1.0	1.0	1.0
700	0	4798	1.0	1.0	1.0
1546	0	5631	1.0	1.0	1.0
464	0	4996	1.0	1.0	1.0
1889	0	6523	1.0	1.0	1.0
1759	0	6854	1.0	1.0	1.0
2500	0	5068	1.0	1.0	1.0
1335	0	3171	1.0	1.0	1.0
399	0	6848	1.0	1.0	1.0
947	0	5690	1.0	1.0	1.0
458	0	3589	1.0	1.0	1.0
458	0	5671	1.0	1.0	1.0
517	0	7442	1.0	1.0	1.0
57	0	5528	1.0	1.0	1.0
1364	0	6618	1.0	1.0	1.0
1335	0	8686	1.0	1.0	1.0
681	0	5306	1.0	1.0	1.0
957	0	2864	1.0	1.0	1.0
1166	0	5226	1.0	1.0	1.0
1848	0	5304	1.0	1.0	1.0
1748	0	7057	1.0	1.0	1.0
1092	0	4478	1.0	1.0	1.0
26	0	4912	1.0	1.0	1.0
470	0	3687	1.0	1.0	1.0
349	0	6371	1.0	1.0	1.0
549	0	2905	1.0	1.0	1.0
407	0	3949	1.0	1.0	1.0
454	0	5432	1.0	1.0	1.0
574	0	1831	1.0	1.0	1.0
454	0	3751	1.0	1.0	1.0
464	0	4869	1.0	1.0	1.0
1210	0	3319	1.0	1.0	1.0
1075	0	4606	1.0	1.0	1.0
1531	0	4785	1.0	1.0	1.0
779	0	7058	1.0	1.0	1.0
2986	0	7806	1.0	1.0	1.0
2568	0	4108	1.0	1.0	1.0
1770	0	2109	1.0	1.0	1.0
901	0	6290	1.0	1.0	1.0
550	0	4138	1.0	1.0	1.0
64	0	4062	1.0	1.0	1.0
88	0	799	1.0	1.0	1.0
1128	0	1322	1.0	1.0	1.0
957	0	3968	1.0	1.0	1.0
208	0	3744	1.0	1.0	1.0
2431	0	7675	1.0	1.0	1.0
82	0	5216	1.0	1.0	1.0
6	0	7182	1.0	1.0	1.0
1193	0	6412	1.0	1.0	1.0
596	0	8416	1.0	1.0	1.0
586	0	2520	1.0	1.0	1.0
2155	0	4581	1.0	1.0	1.0
1884	0	2578	1.0	1.0	1.0
213	0	5942	1.0	1.0	1.0
553	0	1650	1.0	1.0	1.0
1335	0	9211	1.0	1.0	1.0
530	0	3972	1.0	1.0	1.0
1226	0	1416	1.0	1.0	1.0
587	0	8479	1.0	1.0	1.0
1325	0	2036	1.0	1.0	1.0
1082	0	1897	1.0	1.0	1.0
266	0	5424	1.0	1.0	1.0
1357	0	5833	1.0	1.0	1.0
2726	0	7897	1.0	1.0	1.0
1660	0	7169	1.0	1.0	1.0
1836	0	193	1.0	1.0	1.0
1852	0	3433	1.0	1.0	1.0
266	0	4291	1.0	1.0	1.0
698	0	4241	1.0	1.0	1.0
1218	0	5342	1.0	1.0	1.0
1288	0	2264	1.0	1.0	1.0
1108	0	1372	1.0	1.0	1.0
233	0	6860	1.0	1.0	1.0
470	0	3006	1.0	1.0	1.0
1836	0	1497	1.0	1.0	1.0
957	0	6590	1.0	1.0	1.0
464	0	663	1.0	1.0	1.0
1075	0	2689	1.0	1.0	1.0
2303	0	6876	1.0	1.0	1.0
842	0	2520	1.0	1.0	1.0
2770	0	4231	1.0	1.0	1.0
1362	0	3500	1.0	1.0	1.0
81	0	7480	1.0	1.0	1.0
233	0	4209	1.0	1.0	1.0
1818	0	5354	1.0	1.0	1.0
1531	0	5705	1.0	1.0	1.0
914	0	5139	1.0	1.0	1.0
1092	0	3654	1.0	1.0	1.0
517	0	8267	1.0	1.0	1.0
26	0	6736	1.0	1.0	1.0
793	0	6189	1.0	1.0	1.0
1103	0	5599	1.0	1.0	1.0
2155	0	4889	1.0	1.0	1.0
1889	0	2828	1.0	1.0	1.0
26	0	8923	1.0	1.0	1.0
687	0	1536	1.0	1.0	1.0
1092	0	6500	1.0	1.0	1.0
936	0	5121	1.0	1.0	1.0
738	0	8921	1.0	1.0	1.0
464	0	2783	1.0	1.0	1.0
2448	0	1805	1.0	1.0	1.0
729	0	6880	1.0	1.0	1.0
1060	0	3476	1.0	1.0	1.0
893	0	6516	1.0	1.0	1.0
2155	0	7809	1.0	1.0	1.0
604	0	4622	1.0	1.0	1.0
1360	0	6392	1.0	1.0	1.0
3131	0	5993	1.0	1.0	1.0
233	0	3799	1.0	1.0	1.0
464	0	3145	1.0	1.0	1.0
1906	0	778	1.0	1.0	1.0
791	0	7878	1.0	1.0	1.0
